Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
20191361S1383,406041,441134,-1.909624,53.866400,13,3,3,2,28/01/2019,2,17:40,200,E08000032,3,629,6,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01010710,
20191361T1124,405954,442265,-1.910926,53.876566,13,3,2,1,29/01/2019,3,16:00,200,E08000032,4,6265,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01010728,
20191361U0936,410546,430327,-1.841485,53.769197,13,2,1,1,30/01/2019,4,15:24,200,E08000032,3,647,6,30,0,-1,-1,0,0,1,1,1,2,0,0,1,1,E01010756,
20191361V0233,412979,436718,-1.804306,53.826585,13,3,1,1,31/01/2019,5,08:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01010790,
20191361V1101,414547,429334,-1.780832,53.760177,13,3,2,1,31/01/2019,5,16:00,200,E08000032,3,6036,6,30,3,4,6,0,0,0,1,7,2,0,0,1,1,E01010849,
20191361V1420,417465,432944,-1.736369,53.792534,13,3,1,1,31/01/2019,5,18:36,200,E08000032,3,647,6,30,0,-1,-1,0,0,0,4,7,2,0,0,1,1,E01010606,
2019136210374,413941,434392,-1.789797,53.805654,13,2,1,1,01/02/2019,6,09:00,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,1,1,E01010809,
2019136211389,402913,444504,-1.957160,53.896715,13,3,2,1,01/02/2019,6,17:45,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01010645,
2019136220607,409796,432779,-1.852787,53.791250,13,2,3,1,02/02/2019,7,11:02,200,E08000032,6,0,6,30,0,-1,-1,0,0,0,1,1,4,0,0,1,1,E01010798,
2019136230845,418019,434973,-1.727842,53.810752,13,1,3,4,03/02/2019,1,12:50,200,E08000032,3,658,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01010828,
